url,status,canonical,content_status
https://www.pgak.co.in,200,https://www.pgak.co.in,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/platform,200,https://www.pgak.co.in/platform,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/platform/compatibility,200,https://www.pgak.co.in/platform/compatibility,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/platform/deployment,200,https://www.pgak.co.in/platform/deployment,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/platform/capabilities,200,https://www.pgak.co.in/platform/capabilities,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/platform/vms-integration,200,https://www.pgak.co.in/platform/vms-integration,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/resources,200,https://www.pgak.co.in/resources,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/resources/evidence,200,https://www.pgak.co.in/resources/evidence,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/resources/evaluation-method,200,https://www.pgak.co.in/resources/evaluation-method,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/resources/storage-bandwidth,200,https://www.pgak.co.in/resources/storage-bandwidth,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/partners,200,https://www.pgak.co.in/partners,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/solutions,200,https://www.pgak.co.in/solutions,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/features,200,https://www.pgak.co.in/features,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/pricing,200,https://www.pgak.co.in/pricing,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/free-audit,200,https://www.pgak.co.in/free-audit,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/book-demo,200,https://www.pgak.co.in/book-demo,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/roi-calculator,200,https://www.pgak.co.in/roi-calculator,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/insights/case-studies,200,https://www.pgak.co.in/insights/case-studies,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/insights,200,https://www.pgak.co.in/insights,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/areas-we-serve,200,https://www.pgak.co.in/areas-we-serve,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/contact,200,https://www.pgak.co.in/contact,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/about,200,https://www.pgak.co.in/about,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/brochure,200,https://www.pgak.co.in/brochure,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/privacy,200,https://www.pgak.co.in/privacy,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/terms,200,https://www.pgak.co.in/terms,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/ai-intruder-detection,200,https://www.pgak.co.in/ai-intruder-detection,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/ai-cctv-for-warehouses,200,https://www.pgak.co.in/ai-cctv-for-warehouses,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/ai-cctv-for-offices,200,https://www.pgak.co.in/ai-cctv-for-offices,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/factory-security,200,https://www.pgak.co.in/factory-security,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/retail-shop-security,200,https://www.pgak.co.in/retail-shop-security,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/residential-security,200,https://www.pgak.co.in/residential-security,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/school-security,200,https://www.pgak.co.in/school-security,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/hospital-security,200,https://www.pgak.co.in/hospital-security,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/smart-perimeter-protection,200,https://www.pgak.co.in/smart-perimeter-protection,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/biometric-attendance,200,https://www.pgak.co.in/biometric-attendance,Preserved existing content; specialist claim review remains
https://www.pgak.co.in/face-recognition-attendance-system,200,https://www.pgak.co.in/face-recognition-attendance-system,Reviewed B2B journey; capability claims gated
https://www.pgak.co.in/cctv-installation-company,200,https://www.pgak.co.in/cctv-installation-company,Preserved existing content; specialist claim review remains
